u,v,key,osmid,highway,lanes,name,oneway,reversed,length,junction,geometry,ref,access,bridge,maxspeed,tunnel
1651414472,2248802699,0,1074761654,tertiary,,Postal Colony Road,False,False,49.15273092048501,,"LINESTRING (72.8940134 19.0606825, 72.8938967 19.0607151, 72.8935649 19.0608078)",,,,,
1651414472,10653611771,0,1074761654,tertiary,,Postal Colony Road,False,True,112.8166636400569,,"LINESTRING (72.8940134 19.0606825, 72.8941412 19.0606412, 72.8942402 19.0606113, 72.895035 19.0603711)",,,,,
1651414478,6571923643,0,1127314706,tertiary_link,,,True,False,7.337827058427799,,"LINESTRING (72.8978241 19.0619132, 72.8977955 19.0619734)",,,,,
1651414478,5865538272,0,"[1309791099, 1119968791, 107213215]",secondary,2,"['Chembur Flyover', 'Ghatkopar Mahul Road']",True,False,376.498459394049,,"LINESTRING (72.8978241 19.0619132, 72.8978884 19.0620464, 72.8990303 19.0648903, 72.8990917 19.0650793)",,,yes,,
1651414481,10061003741,0,1098831463,tertiary_link,,,True,False,35.811951859481354,,"LINESTRING (72.8982197 19.0621954, 72.8981216 19.0620696, 72.8979916 19.0619583)",,,,,
1651414481,245665982,0,1126936384,tertiary,,D K Sandu Marg,False,True,172.74859602257476,,"LINESTRING (72.8982197 19.0621954, 72.8982278 19.0620768, 72.8982647 19.0617103, 72.8982914 19.0614446, 72.8983687 19.0609688, 72.8984205 19.0606543)",,,,,
1651414487,1643351868,0,1153123665,tertiary,,,False,True,179.27173741543365,,"LINESTRING (72.8958332 19.0627241, 72.8971917 19.0636991)",,,,,
1651414487,2248802798,0,152314264,residential,,Postal Colony Road,False,True,46.130426391898105,,"LINESTRING (72.8958332 19.0627241, 72.8958604 19.0625698, 72.8957625 19.0623285)",,,,,
1651414487,9857764833,0,700035800,tertiary,,,False,False,335.937352448077,,"LINESTRING (72.8958332 19.0627241, 72.8941432 19.0615112, 72.894064 19.061457, 72.8932787 19.0609082)",,,,,
1651414487,4362728140,0,1153123664,residential,,Postal Colony Road,False,False,127.18297540016815,,"LINESTRING (72.8958332 19.0627241, 72.8963128 19.0625469, 72.8967569 19.0623828, 72.8969603 19.0623077)",,,,,
1651421946,245665637,0,22854121,tertiary,,Road No 18,False,False,40.45562340525828,,"LINESTRING (72.8987242 19.0586135, 72.8984173 19.0583939)",,,,,
1651421946,245665702,0,22854121,tertiary,,Road No 18,False,True,117.06213608734618,,"LINESTRING (72.8987242 19.0586135, 72.8995596 19.0593098)",,,,,
1651421946,1651414460,0,1402778158,residential,,Road No.15,False,True,112.51944526136143,,"LINESTRING (72.8987242 19.0586135, 72.8989248 19.0586101, 72.8997946 19.058626)",15,,,,
1651421959,4264598312,0,1123862232,secondary,,Road No 17,False,False,18.6098540743008,,"LINESTRING (72.8970626 19.0605879, 72.8972015 19.0604841)",,,,,
1651421959,1651414478,0,1240182702,secondary,2,Ramakrishna Chemburkar Marg,True,False,167.7938197397008,,"LINESTRING (72.8970626 19.0605879, 72.8971139 19.0606774, 72.8971676 19.060767, 72.8973563 19.061082, 72.8977002 19.061656, 72.8978241 19.0619132)",,,,,
1654348854,11143613408,0,151522889,trunk_link,2,,True,False,9.759439437318493,,"LINESTRING (72.8848162 19.0549338, 72.8848869 19.0549907)",,,,,
1654348854,2248802455,0,1124095108,tertiary,,,True,False,147.00237278362457,,"LINESTRING (72.8848162 19.0549338, 72.8847205 19.0550509, 72.8839876 19.0559988)",,,,,
1654348871,2248802537,0,152629605,residential,,,False,True,78.56807833740571,,"LINESTRING (72.8829602 19.0580731, 72.8822676 19.0578072)",,,,,
1654348871,11143613414,0,1333439570,residential,,,False,False,6.1126104613011565,,"LINESTRING (72.8829602 19.0580731, 72.883016 19.0580886)",,,,,
1654348871,13508455291,0,152629611,tertiary,,,True,False,149.91811074214124,,"LINESTRING (72.8829602 19.0580731, 72.8826384 19.0588342, 72.8825073 19.0591371, 72.8824634 19.059226, 72.8824386 19.0592961, 72.8824281 19.0593237)",,,,,
1654348910,10207397934,0,1212668214,tertiary,,,False,False,15.026582744535336,,"LINESTRING (72.8844858 19.0607299, 72.8845983 19.0608133)",,,,,
1654348910,7379608698,0,1212668215,tertiary,,,False,True,90.43213422674252,,"LINESTRING (72.8844858 19.0607299, 72.8837863 19.0602563)",,,,,
1654348910,13789266313,0,"[376621412, 1508106703]",secondary,,S G Barve Marg (C S T Road),True,False,15.394197240267845,,"LINESTRING (72.8844858 19.0607299, 72.8844729 19.0607458, 72.884397 19.06084)",,,yes,,
1654348913,7366043792,0,787870565,residential,,,False,False,16.900091013601575,,"LINESTRING (72.8735547 19.0611, 72.8734088 19.0611639)",,,,,
1654348913,12068076315,0,122177866,tertiary,,A H Wadia Marg,False,False,398.1765647333837,,"LINESTRING (72.8735547 19.0611, 72.8737645 19.0613308, 72.8744467 19.0619501, 72.8745953 19.062167, 72.8748037 19.0626347, 72.8752004 19.0635251, 72.8754719 19.0638088, 72.8756719 19.0639988)",,,,,
1654348913,619309814,0,122177866,tertiary,,A H Wadia Marg,False,True,157.94496259347287,,"LINESTRING (72.8735547 19.0611, 72.8727743 19.0602285, 72.8727128 19.0601798, 72.8726672 19.0601531, 72.8726189 19.0601481, 72.8725719 19.0601576, 72.8725097 19.0601731)",,,,,
1934627523,245667685,0,1128423096,residential,,,False,True,78.2348683807431,,"LINESTRING (72.8638596 19.0739634, 72.864593 19.0740842)",,,,,
1934627523,12378368426,0,22855869,residential,,,False,True,94.79138333321615,,"LINESTRING (72.8638596 19.0739634, 72.8638667 19.0737702, 72.8638891 19.0731653, 72.8638906 19.0731247, 72.8638934 19.0731117)",,,,,
2146273510,4264598323,0,686146406,residential,,,False,True,11.076839016726446,,"LINESTRING (72.9010267 19.0700204, 72.9009247 19.0700455)",,,,,
2146273510,1232644012,0,107213212,tertiary,,Ghatkopar Mahul Road,True,False,172.87825847604228,,"LINESTRING (72.9010267 19.0700204, 72.9006911 19.0690838, 72.900476 19.0685557)",,,,,
2146273510,11029864299,0,204635236,residential,,Pestom Sagar Road Number 3,False,False,65.59558080786694,,"LINESTRING (72.9010267 19.0700204, 72.9010744 19.0700273, 72.9011402 19.0700146, 72.9012313 19.0699893, 72.9013896 19.0698993, 72.9015357 19.0697697, 72.9015536 19.0697485)",,,,,
2146273513,10279771622,0,107213212,tertiary,,Ghatkopar Mahul Road,True,False,21.76942717421955,,"LINESTRING (72.9001335 19.0676384, 72.9000679 19.0674527)",,,,,
2146273517,4264598321,0,107213260,residential,,Dr Nandita Rane's Eye Clinic,False,False,18.889093545098333,,"LINESTRING (72.9005846 19.0683369, 72.9004288 19.0684216)",,yes,,30,
2146273517,2146273519,0,204635239,living_street,,,False,True,87.95621047690986,,"LINESTRING (72.9005846 19.0683369, 72.9012339 19.068836)",,,,,
